,billing_amount,merchant_name,merchant_category
142,2020.79,DMART SIDDAPURA,FOOD
143,407.0,AAKRUTI ENTERPRISES,FOOD
144,256.0,MAX HYPERMARKET,FOOD
145,131.0,VASUDEV ADIGAS,FOOD
146,307.0,PARADISE FOOD COURT,FOOD
147,1893.52,BESCOM,UTILITIES
148,198.0,www.reload.in,GENERAL
149,714.0,DOMINOS.,FOOD
150,330.0,PARTY FUN,GENERAL
151,10.0,BHARTI AIRTEL LTD,MOBILE
152,950.0,ROYAL INDIAN RESTAURAN,FOOD
153,200.0,KABAB MAGIC-MARATHALLI,FOOD
154,126.0,WWW SWIGGY IN,FOOD
155,385.0,CALVINS,FOOD
156,440.0,ADYAR ANANDA BHAVAN SW,FOOD
157,561.0,SRI KULADEVATHA ANUGRA,FOOD
158,1229.0,HERITAGE FOODS,FOOD
159,140.0,GOOD FOOD,FOOD
160,780.0,DOMINOS PIZZA .,FOOD
161,318.0,MEDPLUS-OPTIVAL-INKABL,MEDICAL
162,581.0,BHARTI AIRTEL LTD,MOBILE
163,2200.0,BRAND FACTORY,FOOD
164,205.0,SUBWAY,FOOD
165,170.0,BELGYUM,FOOD
166,70.0,HALDIRAM PRODUCTS,FOOD
167,400.0,MUGULURI SIRISHADEVI,FOOD
168,269.0,Sowbhagya Traders.2,FOOD
169,1093.1,MORE MEGASTORE,FOOD
170,249.0,V M RETAIL,FOOD
171,522.0,SRI MAHALAKSHMI SUPER,FOOD
172,123.55,MORE MEGASTORE,FOOD
173,140.8,"MC DONALDS,",FOOD
174,325.0,APOLLO PHARMACY,FOOD
175,320.0,KRAZY KING,FOOD
176,240.0,"MORE,",FOOD
177,234.0,GRAND MART SUPER MARKE,FOOD
178,289.0,AMAZON SELLER SERVICES,FOOD
179,172.0,FLAVOURS 24,FOOD
180,505.0,DELICACY EATING POINT,FOOD
181,450.0,SAFA SUPER BAZAR,FOOD
182,110.0,HOTEL SAVITHA,FOOD
183,122.0,VASUDEV ADIGAS,FOOD
184,1566.0,SPAR OASIS MALL KORAMA,FOOD
185,1719.07,MORE MEGASTORE,FOOD
186,179.0,FASO SUPER SHOPPE,FOOD
187,120.0,RAGHAVENDRACHARI B N,FOOD
188,607.0,STAR BAZAAR.,FOOD
189,458.0,SWATHI MAHARAJ,GENERAL
190,266.52,"MORE,",FOOD
191,399.0,DMART SIDDAPURA,FOOD
192,445.0,DMART SIDDAPURA,FOOD
193,290.0,CHAKH LE.,FOOD
194,177.96,VILLAGE HYPER,FOOD
195,2344.0,FAMILY FOOD CENTER,FOOD
196,21.24,HERITAGE FOODS,FOOD
197,403.0,EDEN FRESH FRUITS,FOOD
198,771.0,FOODWORLD,FOOD
199,350.0,RANG DE BASANTHI FAMIL,FOOD
200,226.0,LA ALTA VITA BLR BANGALORE,FOOD
201,100.0,www.freshmenu.com,FOOD
202,290.0,BHAGINI BAR & RESTAURA,FOOD
203,1681.26,"MORE,",FOOD
204,499.0,RELAX SUPERMARXET,FOOD
205,449.0,RELAX SUPERMARXET,FOOD
206,226.0,FASO SUPER SHOPPE,FOOD
207,827.0,AAKRUTI ENTERPRISES,FOOD
208,127.2,Reliance Mart,FOOD
209,195.23,ADITYA BIRLA RETAIL LT,FOOD
210,159.0,HTTP WWW MOBIKWIK COM,MOBILE
211,282.0,WWW SWIGGY IN,FOOD
212,142.0,CAFE COFFEE DAY.,FOOD
213,342.0,NKP EMPIRE VENTURES,FOOD
214,272.5,Hypercity Retail India,FOOD
215,504.0,I FRESH VEGETABLES,FOOD
216,165.0,TIPSY TOPSY BAKER S,FOOD
217,535.0,TIPSY TOPSY BAKER S,FOOD
218,115.0,YESSAR HOME NEEDS,FOOD
219,1120.0,Grand Mart Super Mar3.,FOOD
220,2214.0,AND,GENERAL
221,286.0,MALABAR CAFE,FOOD
222,119.0,NILGIRIS,FOOD
223,409.0,SRI VENKATESHWARA SUPE,FOOD
224,1543.0,PUSHPAS FUEL STATION H,FUEL
